PA,SZ,AG,TOD,Pop,Sex,Time
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,4-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,5-Room and Executive Flats,20,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,0_to_4,Condominiums and Other Apartments,40,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,3-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,4-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,5-Room and Executive Flats,30,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,5_to_9,Condominiums and Other Apartments,80,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,3-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,4-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,5-Room and Executive Flats,50,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,10_to_14,Condominiums and Other Apartments,80,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,3-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,4-Room Flats,20,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,5-Room and Executive Flats,50,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,15_to_19,Condominiums and Other Apartments,70,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,3-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,4-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,5-Room and Executive Flats,40,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,20_to_24,Condominiums and Other Apartments,80,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,3-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,4-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,5-Room and Executive Flats,50,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,25_to_29,Condominiums and Other Apartments,60,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,3-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,4-Room Flats,20,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,5-Room and Executive Flats,50,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,30_to_34,Condominiums and Other Apartments,50,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,3-Room Flats,20,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,4-Room Flats,20,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,5-Room and Executive Flats,40,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,35_to_39,Condominiums and Other Apartments,50,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,3-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,4-Room Flats,30,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,5-Room and Executive Flats,60,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,40_to_44,Condominiums and Other Apartments,90,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,3-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,4-Room Flats,20,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,5-Room and Executive Flats,70,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,45_to_49,Condominiums and Other Apartments,90,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,3-Room Flats,20,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,4-Room Flats,30,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,5-Room and Executive Flats,60,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,50_to_54,Condominiums and Other Apartments,110,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,3-Room Flats,20,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,4-Room Flats,20,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,5-Room and Executive Flats,60,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,55_to_59,Condominiums and Other Apartments,80,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,3-Room Flats,20,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,4-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,5-Room and Executive Flats,60,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,60_to_64,Condominiums and Other Apartments,50,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,3-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,4-Room Flats,20,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,5-Room and Executive Flats,50,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,65_to_69,Condominiums and Other Apartments,40,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,3-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,4-Room Flats,20,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,5-Room and Executive Flats,60,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,70_to_74,Condominiums and Other Apartments,30,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,4-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,5-Room and Executive Flats,50,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,75_to_79,Condominiums and Other Apartments,20,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,4-Room Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,5-Room and Executive Flats,20,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,80_to_84,Condominiums and Other Apartments,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,85_to_89,5-Room and Executive Flats,10,Males,2024
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,5-Room and Executive Flats,10,Males,2024
Ang Mo Kio,Cheng San,0_to_4,1- and 2-Room Flats*,30,Males,2024
Ang Mo Kio,Cheng San,0_to_4,3-Room Flats,150,Males,2024
Ang Mo Kio,Cheng San,0_to_4,4-Room Flats,160,Males,2024
Ang Mo Kio,Cheng San,0_to_4,5-Room and Executive Flats,90,Males,2024
Ang Mo Kio,Cheng San,5_to_9,1- and 2-Room Flats*,20,Males,2024
Ang Mo Kio,Cheng San,5_to_9,3-Room Flats,160,Males,2024
Ang Mo Kio,Cheng San,5_to_9,4-Room Flats,200,Males,2024
Ang Mo Kio,Cheng San,5_to_9,5-Room and Executive Flats,130,Males,2024
Ang Mo Kio,Cheng San,10_to_14,1- and 2-Room Flats*,20,Males,2024
Ang Mo Kio,Cheng San,10_to_14,3-Room Flats,170,Males,2024
Ang Mo Kio,Cheng San,10_to_14,4-Room Flats,160,Males,2024
Ang Mo Kio,Cheng San,10_to_14,5-Room and Executive Flats,140,Males,2024
Ang Mo Kio,Cheng San,15_to_19,1- and 2-Room Flats*,20,Males,2024
Ang Mo Kio,Cheng San,15_to_19,3-Room Flats,230,Males,2024
Ang Mo Kio,Cheng San,15_to_19,4-Room Flats,180,Males,2024
Ang Mo Kio,Cheng San,15_to_19,5-Room and Executive Flats,140,Males,2024
Ang Mo Kio,Cheng San,20_to_24,1- and 2-Room Flats*,30,Males,2024
Ang Mo Kio,Cheng San,20_to_24,3-Room Flats,270,Males,2024
Ang Mo Kio,Cheng San,20_to_24,4-Room Flats,180,Males,2024
Ang Mo Kio,Cheng San,20_to_24,5-Room and Executive Flats,130,Males,2024
Ang Mo Kio,Cheng San,25_to_29,1- and 2-Room Flats*,30,Males,2024
Ang Mo Kio,Cheng San,25_to_29,3-Room Flats,330,Males,2024
Ang Mo Kio,Cheng San,25_to_29,4-Room Flats,260,Males,2024
Ang Mo Kio,Cheng San,25_to_29,5-Room and Executive Flats,140,Males,2024
Ang Mo Kio,Cheng San,30_to_34,1- and 2-Room Flats*,30,Males,2024
Ang Mo Kio,Cheng San,30_to_34,3-Room Flats,400,Males,2024
Ang Mo Kio,Cheng San,30_to_34,4-Room Flats,320,Males,2024
Ang Mo Kio,Cheng San,30_to_34,5-Room and Executive Flats,150,Males,2024
Ang Mo Kio,Cheng San,30_to_34,Others,10,Males,2024
Ang Mo Kio,Cheng San,35_to_39,1- and 2-Room Flats*,20,Males,2024
Ang Mo Kio,Cheng San,35_to_39,3-Room Flats,330,Males,2024
Ang Mo Kio,Cheng San,35_to_39,4-Room Flats,330,Males,2024
Ang Mo Kio,Cheng San,35_to_39,5-Room and Executive Flats,130,Males,2024
Ang Mo Kio,Cheng San,35_to_39,Others,10,Males,2024
Ang Mo Kio,Cheng San,40_to_44,1- and 2-Room Flats*,20,Males,2024
Ang Mo Kio,Cheng San,40_to_44,3-Room Flats,410,Males,2024
Ang Mo Kio,Cheng San,40_to_44,4-Room Flats,320,Males,2024
Ang Mo Kio,Cheng San,40_to_44,5-Room and Executive Flats,190,Males,2024
Ang Mo Kio,Cheng San,40_to_44,Others,10,Males,2024
Ang Mo Kio,Cheng San,45_to_49,1- and 2-Room Flats*,20,Males,2024
Ang Mo Kio,Cheng San,45_to_49,3-Room Flats,400,Males,2024
Ang Mo Kio,Cheng San,45_to_49,4-Room Flats,270,Males,2024
Ang Mo Kio,Cheng San,45_to_49,5-Room and Executive Flats,190,Males,2024
Ang Mo Kio,Cheng San,50_to_54,1- and 2-Room Flats*,30,Males,2024
Ang Mo Kio,Cheng San,50_to_54,3-Room Flats,510,Males,2024
Ang Mo Kio,Cheng San,50_to_54,4-Room Flats,300,Males,2024
Ang Mo Kio,Cheng San,50_to_54,5-Room and Executive Flats,180,Males,2024
Ang Mo Kio,Cheng San,55_to_59,1- and 2-Room Flats*,30,Males,2024
Ang Mo Kio,Cheng San,55_to_59,3-Room Flats,520,Males,2024
Ang Mo Kio,Cheng San,55_to_59,4-Room Flats,260,Males,2024
Ang Mo Kio,Cheng San,55_to_59,5-Room and Executive Flats,140,Males,2024
Ang Mo Kio,Cheng San,60_to_64,1- and 2-Room Flats*,40,Males,2024
Ang Mo Kio,Cheng San,60_to_64,3-Room Flats,550,Males,2024
Ang Mo Kio,Cheng San,60_to_64,4-Room Flats,280,Males,2024
Ang Mo Kio,Cheng San,60_to_64,5-Room and Executive Flats,140,Males,2024
Ang Mo Kio,Cheng San,60_to_64,Others,10,Males,2024
Ang Mo Kio,Cheng San,65_to_69,1- and 2-Room Flats*,50,Males,2024
Ang Mo Kio,Cheng San,65_to_69,3-Room Flats,460,Males,2024
Ang Mo Kio,Cheng San,65_to_69,4-Room Flats,250,Males,2024
Ang Mo Kio,Cheng San,65_to_69,5-Room and Executive Flats,120,Males,2024
Ang Mo Kio,Cheng San,70_to_74,1- and 2-Room Flats*,40,Males,2024
Ang Mo Kio,Cheng San,70_to_74,3-Room Flats,430,Males,2024
Ang Mo Kio,Cheng San,70_to_74,4-Room Flats,260,Males,2024
Ang Mo Kio,Cheng San,70_to_74,5-Room and Executive Flats,130,Males,2024
Ang Mo Kio,Cheng San,70_to_74,Others,10,Males,2024
Ang Mo Kio,Cheng San,75_to_79,1- and 2-Room Flats*,20,Males,2024
Ang Mo Kio,Cheng San,75_to_79,3-Room Flats,330,Males,2024
Ang Mo Kio,Cheng San,75_to_79,4-Room Flats,170,Males,2024
Ang Mo Kio,Cheng San,75_to_79,5-Room and Executive Flats,90,Males,2024
Ang Mo Kio,Cheng San,80_to_84,1- and 2-Room Flats*,20,Males,2024
Ang Mo Kio,Cheng San,80_to_84,3-Room Flats,180,Males,2024
Ang Mo Kio,Cheng San,80_to_84,4-Room Flats,90,Males,2024
Ang Mo Kio,Cheng San,80_to_84,5-Room and Executive Flats,50,Males,2024
